Grão 132 | Harmônicos: 44 | R²: 0.9990
Grão 134 | Harmônicos: 174 | R²: 0.9991
Grão 135 | Harmônicos: 133 | R²: 0.9990
Grão 136 | Harmônicos: 133 | R²: 0.9990
Grão 138 | Harmônicos: 53 | R²: 0.9991
Grão 139 | Harmônicos: 141 | R²: 0.9990
Grão 140 | Harmônicos: 179 | R²: 0.9997
Grão 141 | Harmônicos: 151 | R²: 0.9990
Grão 142 | Harmônicos: 50 | R²: 0.9990
Grão 143 | Harmônicos: 158 | R²: 0.9990
Grão 144 | Harmônicos: 164 | R²: 0.9991
Grão 145 | Harmônicos: 176 | R²: 0.9991
Grão 146 | Harmônicos: 165 | R²: 0.9991
Grão 147 | Harmônicos: 172 | R²: 0.9990
Grão 148 | Harmônicos: 37 | R²: 0.9990
Grão 149 | Harmônicos: 92 | R²: 0.9990
Grão 150 | Harmônicos: 102 | R²: 0.9990
Grão 151 | Harmônicos: 159 | R²: 0.9991
Grão 152 | Harmônicos: 139 | R²: 0.9991
Grão 153 | Harmônicos: 121 | R²: 0.9990
Grão 154 | Harmônicos: 126 | R²: 0.9990
Grão 155 | Harmônicos: 34 | R²: 0.9990
Grão 156 | Harmônicos: 84 | R²: 0.9990
Grão 157 | Harmônicos: 107 | R²: 0.9990
Grão 158 | Harmônicos: 176 | R²: 0.9991
Grão 159 | Harmônicos: 35 | R²: 0.9991
Grão 160 | Harmônicos: 179 | R²: 0.9998
Grão 162 | Harmônicos: 50 | R²: 0.9991
Grão 163 | Harmônicos: 138 | R²: 0.9990
Grão 164 | Harmônicos: 177 | R²: 0.9991
Grão 165 | Harmônicos: 35 | R²: 0.9991
Grão 166 | Harmônicos: 178 | R²: 0.9991
Grão 167 | Harmônicos: 57 | R²: 0.9990
Grão 168 | Harmônicos: 179 | R²: 0.9996
Grão 169 | Harmônicos: 41 | R²: 0.9991
Grão 171 | Harmônicos: 115 | R²: 0.9990
Grão 172 | Harmônicos: 173 | R²: 0.9993
Grão 173 | Harmônicos: 138 | R²: 0.9990
Grão 174 | Harmônicos: 107 | R²: 0.9990
Grão 175 | Harmônicos: 84 | R²: 0.9990
Grão 176 | Harmônicos: 170 | R²: 0.9992
Grão 177 | Harmônicos: 133 | R²: 0.9990
Grão 178 | Harmônicos: 166 | R²: 0.9992
Grão 179 | Harmônicos: 170 | R²: 0.9991
Grão 180 | Harmônicos: 154 | R²: 0.9991
Grão 181 | Harmônicos: 94 | R²: 0.9990
Grão 182 | Harmônicos: 179 | R²: 0.9993
Grão 183 | Harmônicos: 40 | R²: 0.9990
Grão 184 | Harmônicos: 54 | R²: 0.9990
Grão 185 | Harmônicos: 179 | R²: 0.9996
Grão 187 | Harmônicos: 102 | R²: 0.9990
Grão 189 | Harmônicos: 178 | R²: 0.9990
Grão 190 | Harmônicos: 102 | R²: 0.9990
Grão 191 | Harmônicos: 46 | R²: 0.9991
Grão 192 | Harmônicos: 176 | R²: 0.9991
Grão 193 | Harmônicos: 26 | R²: 0.9990
Grão 194 | Harmônicos: 165 | R²: 0.9990
Grão 195 | Harmônicos: 103 | R²: 0.9990
Grão 196 | Harmônicos: 36 | R²: 0.9990
Grão 197 | Harmônicos: 46 | R²: 0.9990
Grão 198 | Harmônicos: 102 | R²: 0.9990
Grão 199 | Harmônicos: 73 | R²: 0.9990
Grão 200 | Harmônicos: 99 | R²: 0.9990
Grão 201 | Harmônicos: 98 | R²: 0.9990
Grão 202 | Harmônicos: 48 | R²: 0.9990
Grão 203 | Harmônicos: 157 | R²: 0.9991
