label,area,perimeter,eccentricity,solidity,extent,major_axis_length,minor_axis_length,equivalent_diameter,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,circularity
476,194,"53,698484809835","0,584973959512579","0,923809523809524","0,680701754385965","17,6951009392234","14,351648315878","15,7165031631919","434,79381443299","443,541237113402",426,436,445,451,"0,845449225957339"
477,1665,"168,267027304759","0,785071470738389","0,928611266034579","0,642361111111111","59,3650576257589","36,7710246271447","46,0428478917632","440,920720720721","1080,36156156156",416,1055,470,1103,"0,738968723076564"
478,572,"109,154328932551","0,810152022663597","0,855007473841554","0,512544802867383","36,8170549608061","21,5828880484376","26,9869045944234","435,673076923077","1142,33916083916",418,1127,454,1158,"0,60328699701464"
479,723,"112,568542494924","0,700341797345607","0,90375","0,704678362573099","36,5947135055848","26,1215865957556","30,3406030072496","437,716459197787","1364,75933609958",425,1345,452,1383,"0,716991612607179"
480,858,"125,154328932551","0,72071847896101","0,908898305084746","0,702702702702703","40,6924707454345","28,209154653756","33,0520729967542","435,994172494173","596,7331002331",419,580,456,613,"0,688343792120378"
481,242,"78,0832611206852","0,788726184538842","0,790849673202614","0,523809523809524","24,2608863769027","14,9142505211928","17,553460337663","441,438016528926","496,942148760331",434,487,455,509,"0,498780359155315"
482,591,"96,5624458405139","0,492821470320151","0,919129082426128","0,703571428571429","29,9319499537206","26,0447010546466","27,4314522207353","441,763113367174","640,641285956007",427,626,457,654,"0,79649092120502"
483,585,"97,5918830920368","0,380323921486914","0,933014354066986","0,866666666666667","29,0838793951464","26,8983232225929","27,2918510488034","449,793162393162","339,234188034188",438,327,463,354,"0,771859642562582"
484,970,"163,580735803744","0,860183174853282","0,779116465863454","0,548642533936652","51,9606154080302","26,4991449163981","35,1431694414876","446,632989690722","854,161855670103",422,838,474,872,"0,455530314488081"
485,688,"104,562445840514","0,418077598548597","0,932249322493225","0,792626728110599","31,6287627822639","28,7319260669675","29,5971080813277","445,287790697674","80,6671511627907",431,68,462,96,"0,790763901610635"
486,154,"49,698484809835","0,739393501463687","0,88","0,566176470588235","17,9636567597173","12,0944546489453","14,0028172125903","445,435064935065","770,558441558442",438,762,454,779,"0,783509538967295"
487,384,"77,8406204335659","0,761058881638491","0,927536231884058","0,6144","28,0170282403054","18,1741644057112","22,1116255661655","448,4921875","698,690104166667",437,686,462,711,"0,796394974257335"
488,1597,"178,651803615609","0,530868172160376","0,875548245614035","0,579462989840348","50,5568976195963","42,8446660452471","45,0928326116474","446,867877269881","804,639949906074",422,780,475,832,"0,628781810716492"
489,336,"78,1837661840736","0,599360053219175","0,888888888888889","0,592592592592593","24,6467654403272","19,7292319647538","20,6835317833056","450,110119047619","660,732142857143",437,653,464,674,"0,690742165017573"
490,378,"77,1126983722081","0,653278134900878","0,91970802919708","0,726923076923077","25,5343766064124","19,332536358894","21,9381983742944","445,089947089947","111,486772486772",435,99,455,125,"0,798821716437346"
491,311,"70,4264068711929","0,795489976722529","0,91740412979351","0,614624505928854","26,0529150973767","15,7872001784101","19,8991833604456","454,360128617363","48,3922829581994",443,37,466,59,"0,787950962239835"
